ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
63,FALSE,TRUE,TRUE,,Beta-430181,210,30,AMS,NA,-24.3,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料名:№1　BNK-60,文京遺跡(60次調査),Bunkyoiseki（Dai60jichosa）,松山市文京町3番,33.84971944,132.7705111,Ehime,Shikoku,Rekihaku 14C Database,2017,文京遺跡Ⅷ　-文京遺跡60次調査-　愛媛大学埋蔵文化財調査報告ⅩⅩⅩ,,
64,TRUE,FALSE,,,Gak-11642,1870,100,Beta Counting,NA,NA,Soil,土壌,soil,水田土壌,垂柳遺跡,Tareyanagiiseki,南津軽郡田舎館村,40.63211111,140.5548194,Aomori,Tohoku,Rekihaku 14C Database,1985,青森県埋蔵文化財調査報告書第88集　垂柳遺跡発掘調査報告書,Known as Middle Yayoi Paddy Field Site but the dates are on soil samples,
65,TRUE,FALSE,,,Gak-11644,2080,110,Beta Counting,NA,NA,Soil,土壌,soil,水田土壌,垂柳遺跡,Tareyanagiiseki,南津軽郡田舎館村,40.63211111,140.5548194,Aomori,Tohoku,Rekihaku 14C Database,1985,青森県埋蔵文化財調査報告書第88集　垂柳遺跡発掘調査報告書,Known as Middle Yayoi Paddy Field Site but the dates are on soil samples,
66,TRUE,FALSE,,,Gak-11645,1370,180,Beta Counting,NA,NA,Soil,土壌,soil,水田土壌,垂柳遺跡,Tareyanagiiseki,南津軽郡田舎館村,40.63211111,140.5548194,Aomori,Tohoku,Rekihaku 14C Database,1985,青森県埋蔵文化財調査報告書第88集　垂柳遺跡発掘調査報告書,,
67,TRUE,FALSE,,,GaK-13517,3250,150,Beta Counting,NA,NA,Wood,木片,wood frag,Ⅰ･Ⅱ区　C･D-7Grid　11a層水田跡大畦畔上樹木片集中地点,富沢遺跡,Tomizawaiseki,仙台市長町南,38.22283889,140.8801389,Miyagi,Tohoku,Rekihaku 14C Database,1988,仙台市文化財調査報告書第114集　富沢遺跡-第28次発掘調査報告書-,,
68,TRUE,FALSE,,,GaK-13518,1710,110,Beta Counting,NA,NA,Wood,木片,wood frag,Ⅱ区 B-4Grid 9a層　水田跡大畦,富沢遺跡,Tomizawaiseki,仙台市長町南,38.22283889,140.8801389,Miyagi,Tohoku,Rekihaku 14C Database,1988,仙台市文化財調査報告書第114集　富沢遺跡-第28次発掘調査報告書-,,
69,TRUE,FALSE,,,Gak-17037,1580,100,Beta Counting,NA,NA,Wood,木材,material wood,3号水田跡　耕作土直下,栗出舘跡,Kuridetateato,田村郡大越町大字栗出字沢目木,37.35696111,140.6089611,Fukushima,Tohoku,Rekihaku 14C Database,1993,福島県文化財調査報告書第291集　東北横断自動車道遺跡調査報告20　馬場平B遺跡　栗出舘跡,,
70,TRUE,FALSE,,,Gak-17038,1050,70,Beta Counting,NA,NA,Wood,木材,material wood,4号水田跡　耕作土内,栗出舘跡,Kuridetateato,田村郡大越町大字栗出字沢目木,37.35696111,140.6089611,Fukushima,Tohoku,Rekihaku 14C Database,1993,福島県文化財調査報告書第291集　東北横断自動車道遺跡調査報告20　馬場平B遺跡　栗出舘跡,,
71,TRUE,FALSE,,,Gak-19868,1380,60,Beta Counting,NA,NA,Wood,木材,material wood,自然木　現在の水田面より-1m,山下遺跡,Yamashitaiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,1999,青森県埋蔵文化財調査報告書第258集　山下遺跡･上野尻遺跡,,
72,TRUE,FALSE,,,Gak-19869,1250,70,Beta Counting,NA,NA,Wood,木材,material wood,自然木　現在の水田面より-1m,山下遺跡,Yamashitaiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,1999,青森県埋蔵文化財調査報告書第258集　山下遺跡･上野尻遺跡,,
73,TRUE,FALSE,,,Gak-20391,1160,70,Beta Counting,NA,-32.2,Wood,木材,material wood,試料番号:1　9C代水田層中,八坂本庄遺跡(B区),Yasakahonjoiseki（Bku）,杵築市大字本庄小字浜、前田ほか,33.41891111,131.5907611,Oita,Kyushu,Rekihaku 14C Database,2003,大分県文化財調査報告書　第150輯　八坂川河川改修事業に伴う埋蔵文化財発掘調査報告書　八坂の遺跡Ⅲ　考察･付論篇,,
74,FALSE,TRUE,TRUE,,GaK-6695,1530,120,Beta Counting,NA,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),55号住居跡,蛍沢遺跡,Hotaruzawaiseki,青森市,40.82296111,140.7473306,Aomori,Tohoku,Rekihaku 14C Database,1979,青森市蛍沢遺跡発掘調査報告書,,
75,TRUE,FALSE,,,GaK-7826,1600,110,Beta Counting,NA,NA,Wood,割り木,split tree,M-41　弥生水田旧水路出土,日高遺跡,Hidakaiseki,高崎市日高町、中尾町村東,36.36161944,139.0299194,Gunma,Kanto,Rekihaku 14C Database,1982,日高遺跡-関越自動車道(新潟線)地域埋蔵文化財発掘調査報告書第5集-,,
76,TRUE,FALSE,,,GaK-7827,1910,100,Beta Counting,NA,NA,Wood,杭,wooden stake,K-41　弥生水田畦内部に打ち込まれた杭,日高遺跡,Hidakaiseki,高崎市日高町、中尾町村東,36.36161944,139.0299194,Gunma,Kanto,Rekihaku 14C Database,1982,日高遺跡-関越自動車道(新潟線)地域埋蔵文化財発掘調査報告書第5集-,,
77,TRUE,FALSE,,,GaK-7828,2250,100,Beta Counting,NA,NA,Wood,自然木,natural wood,O-47G　弥生水田黒色粘性土,日高遺跡,Hidakaiseki,高崎市日高町、中尾町村東,36.36161944,139.0299194,Gunma,Kanto,Rekihaku 14C Database,1982,日高遺跡-関越自動車道(新潟線)地域埋蔵文化財発掘調査報告書第5集-,,
78,TRUE,FALSE,,,GaK-8296,1740,120,Beta Counting,NA,NA,Other unknown samples,不明,unknown,遺跡付近水田地帯　ボーリングコアサンプル　深さ3.8m,谷津遺跡,Yatsuiseki,千葉市花輪町字谷津,35.57921944,140.1559306,Chiba,Kanto,Rekihaku 14C Database,1984,千葉市文化財報告書第10集　谷津遺跡　本文編,,
79,TRUE,FALSE,,,GaK-9092,5380,220,Beta Counting,NA,NA,Other unknown samples,不明,unknown,遺跡付近水田地帯　ボーリングコアサンプル　深さ4.5m,谷津遺跡,Yatsuiseki,千葉市花輪町字谷津,35.57921944,140.1559306,Chiba,Kanto,Rekihaku 14C Database,1984,千葉市文化財報告書第10集　谷津遺跡　本文編,,
80,TRUE,FALSE,,,GaK-9093,4550,140,Beta Counting,NA,NA,Other unknown samples,不明,unknown,遺跡付近水田地帯　ボーリングコアサンプル　深さ7.7m,谷津遺跡,Yatsuiseki,千葉市花輪町字谷津,35.57921944,140.1559306,Chiba,Kanto,Rekihaku 14C Database,1984,千葉市文化財報告書第10集　谷津遺跡　本文編,,
81,FALSE,TRUE,TRUE,,IAA-11832,1090,30,AMS,-17.11,NA,Charred Seed,炭化イネ,carbonized rice (Oryza sativa),竪穴状遺構SX02　床面直上,杉の堂遺跡,Suginodoiseki,水沢市神明町,39.14408056,141.1391111,Iwate,Tohoku,Rekihaku 14C Database,2004,岩手県文化振興事業団埋蔵文化財調査報告書第425集　杉の堂遺跡発掘調査報告書,,
82,FALSE,TRUE,TRUE,,IAA-141615,884,23,AMS,-25.59,NA,Seed,種実(イネ胚乳),seed/nuts rice (Oryza sativa),SD137　3層,細池寺道上遺跡,Hosoiketeramichiueiseki,新潟市秋葉区大安寺,37.79789907,139.1549796,Niigata,Chubu,Rekihaku 14C Database,2015,細池寺道上遺跡Ⅳ　第43次調査,,
83,FALSE,TRUE,TRUE,,IAA-141616,649,24,AMS,-22.73,NA,Seed,種実(イネ胚乳),seed/nuts rice (Oryza sativa),SE263　3層,細池寺道上遺跡,Hosoiketeramichiueiseki,新潟市秋葉区大安寺,37.79789907,139.1549796,Niigata,Chubu,Rekihaku 14C Database,2015,細池寺道上遺跡Ⅳ　第43次調査,,
84,FALSE,TRUE,FALSE,Low Delta13C mixture of different plants,IAA-40,2070,100,Beta Counting,NA,-15,Other Charred Remains,炭化物(繊維状)(イネ属･ススキ属･ウシクサ属),carbonized textile fiber / fiborous material rice (Oryza sativa) silvergrass (Miscanthus sp.) Schizachyrium tribe of grasses?,"試料番号:9
D-24 中世竪穴建物2号　住居",芝原遺跡,Shibaharaiseki,南さつま市金峰町大字宮崎濱崎,31.46553889,130.4019611,Kagoshima,Kyushu,Rekihaku 14C Database,2012,鹿児島県立埋蔵文化財センター発掘調査報告書(170)　芝原遺跡3,this is on stems that might include rice and also Miscanthus sp. a C4 plant hence why dC13 is -15 [CJS],
85,FALSE,TRUE,FALSE,No date,IAA-540,NA,NA,Beta Counting,NA,-28.7,Wood,植物遺体(イネ),plant plant remains rice (Oryza sativa),B3地区　SK2480,中尾新保谷内遺跡,Nakaoshimboyachiiseki,氷見市中尾,36.85016944,136.9477194,Toyama,Chubu,Rekihaku 14C Database,2009,富山県文化振興財団埋蔵文化財発掘調査報告第41集　中尾茅戸遺跡　中尾新保谷内遺跡　神明北遺跡　大野江淵遺跡発掘調査報告(第二分冊),Missing Date; Incorrect Lab-Code (corrected now) - IAA-541 is not イネ but a piece of wood. Date is reported as Modern so left blank,Solved
86,TRUE,FALSE,,,IAAA-10045,280,50,AMS,-29.1,NA,Wood,植物遺体,plant plant remains,水田面　火山灰直下,横山遺跡,Yokoyamaiseki,本荘市福山字横山,39.3858,140.0489194,Akita,Tohoku,Rekihaku 14C Database,2003,秋田県文化財調査報告書第363集　横山遺跡,,
87,FALSE,TRUE,TRUE,,IAAA-103552,1036,26,AMS,-23.42,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),SN4　B2　1層,油伝(1)遺跡,Aburaden(1)Iseki,弘前市大字時苗字油伝,40.60315,140.4631194,Aomori,Tohoku,Rekihaku 14C Database,2014,油伝(1)遺跡発掘調査報告書,,
88,FALSE,TRUE,TRUE,,IAAA-10378,290,30,AMS,-25.25,NA,Charred Seed,炭化種子（イネ）,carbonized seed rice (Oryza sativa),"（Ⅲ層（Ta-aより下位））1号平地式住居跡床面, OS2-1",オサツ2遺跡,Osatsu2iseki,千歳市長都,42.874,141.6311611,Hokkaido,Hokkaido,Rekihaku 14C Database,2002,千歳市文化財調査報告書ⅩⅩⅦ　ユカンボシC２遺跡・オサツ２遺跡における考古学的調査,,
89,FALSE,TRUE,TRUE,,IAAA-10597,340,20,AMS,-25.52,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),ポイント1炭範囲②,新府城跡,Shimpujoato,韮崎市中田町中条字城山,35.74118056,138.4318389,Yamanashi,Chubu,Rekihaku 14C Database,2002,史跡新府城跡,,
90,FALSE,TRUE,TRUE,,IAAA-10652,960,30,AMS,-25.1,NA,Charred Seed,炭化種子(イネ),carbonized seed rice (Oryza sativa),第5号焼土･炭化物集中区,和野Ⅰ遺跡,Wano1iseki,下閉伊郡田野畑村和野,39.93111944,141.9137694,Iwate,Tohoku,Rekihaku 14C Database,2004,岩手県文化振興事業団埋蔵文化財調査報告書第452集　和野Ⅰ遺跡発掘調査報告書　(第1分冊　本文･図版･表編),,
91,TRUE,FALSE,,,IAAA-110522,819,21,AMS,-25.71,NA,Wood,植物片,plant fragments,水田区画　耕作土(Ⅷ層水田区画1),山王遺跡,Sannoiseki,多賀城市山王字山王四区,38.2995162,140.9791778,Miyagi,Tohoku,Rekihaku 14C Database,2012,多賀城市文化財調査報告書第109集　山王遺跡ほか,,
92,TRUE,FALSE,,,IAAA-110974,1731,21,AMS,-27.03,NA,Soil,土壌,soil,水田区画　耕作土(Ⅷ層水田区画1),山王遺跡,Sannoiseki,多賀城市山王字山王四区,38.2995162,140.9791778,Miyagi,Tohoku,Rekihaku 14C Database,2012,多賀城市文化財調査報告書第109集　山王遺跡ほか,"Site reports refer to the paddy field as from Kofun period, chronology can be of Final Yayoi",
93,FALSE,TRUE,TRUE,,IAAA-112037,1167,25,AMS,-24.4,NA,Charred Remain,炭化物(イネ属),carbonized material rice (Oryza sativa),南側斜面3,家ノ浦Ⅱ遺跡,Ienora2iseki,にかほ市両前寺字家ノ浦,39.29598889,139.9746694,Akita,Tohoku,Rekihaku 14C Database,2013,秋田県文化財調査報告書第485集　家ノ浦Ⅱ遺跡,,
94,FALSE,TRUE,TRUE,,IAAA-112206,389,25,AMS,-25.5,NA,Charred Seed,炭化コメ,carbonized rice (Oryza sativa),"Ⅲ層　炉4　灰1, 4",福山城下町遺跡,Fukuyamajokamachiiseki,松前郡松前町,41.42801111,140.1111611,Hokkaido,Hokkaido,Rekihaku 14C Database,2012,（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－,,
95,FALSE,TRUE,TRUE,,IAAA-112207,328,23,AMS,-19.5,NA,Charred Seed,炭化コメ,carbonized rice (Oryza sativa),"Ⅲ層　炉5　灰1, 5",福山城下町遺跡,Fukuyamajokamachiiseki,松前郡松前町,41.42801111,140.1111611,Hokkaido,Hokkaido,Rekihaku 14C Database,2012,（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－,,
96,FALSE,TRUE,TRUE,,IAAA-112209,339,24,AMS,-26.87,NA,Charred Seed,炭化コメ,carbonized rice (Oryza sativa),"Ⅲ層　炉7, 7",福山城下町遺跡,Fukuyamajokamachiiseki,松前郡松前町,41.42801111,140.1111611,Hokkaido,Hokkaido,Rekihaku 14C Database,2012,（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－,,
97,FALSE,TRUE,TRUE,,IAAA-112210,340,24,AMS,-23.39,NA,Charred Seed,炭化コメ,carbonized rice (Oryza sativa),"Ⅲ層　灰集中1, 8",福山城下町遺跡,Fukuyamajokamachiiseki,松前郡松前町,41.42801111,140.1111611,Hokkaido,Hokkaido,Rekihaku 14C Database,2012,（財）北海道埋蔵文化財センター調査報告書第290集　松前町　福山城下町遺跡　－町道旭豊岡線代行事業改良工事に関わる埋蔵文化財発掘調査報告書－,,
98,FALSE,TRUE,TRUE,,IAAA-112450,1294,24,AMS,-25.69,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),Ⅰ東　2SI04　炭化物層,道村B遺跡,Domurabiseki,白山市宮丸町,36.5077,136.5499694,Ishikawa,Chubu,Rekihaku 14C Database,2015,白山市道村B遺跡,,
99,FALSE,TRUE,TRUE,,IAAA-112452,1232,23,AMS,-26.2,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),Ⅰ東　2SK28炭化物,道村B遺跡,Domurabiseki,白山市宮丸町,36.5077,136.5499694,Ishikawa,Chubu,Rekihaku 14C Database,2015,白山市道村B遺跡,,
100,FALSE,TRUE,TRUE,,IAAA-112453,1245,25,AMS,-25.03,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),Ⅰ東　2SK29炭化物,道村B遺跡,Domurabiseki,白山市宮丸町,36.5077,136.5499694,Ishikawa,Chubu,Rekihaku 14C Database,2015,白山市道村B遺跡,,
101,FALSE,TRUE,TRUE,,IAAA-112454,1274,22,AMS,-22.43,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),Ⅰ東　3SI11　炭化物,道村B遺跡,Domurabiseki,白山市宮丸町,36.5077,136.5499694,Ishikawa,Chubu,Rekihaku 14C Database,2015,白山市道村B遺跡,,
102,FALSE,TRUE,TRUE,,IAAA-112456,1334,26,AMS,-29.37,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),Ⅰ東　3下SI09-a,道村B遺跡,Domurabiseki,白山市宮丸町,36.5077,136.5499694,Ishikawa,Chubu,Rekihaku 14C Database,2015,白山市道村B遺跡,,
103,FALSE,TRUE,TRUE,,IAAA-11553,1130,30,AMS,-30.04,NA,Seed,植物遺体(イネ),plant plant remains rice (Oryza sativa),SD42 LL以東　覆土,横山遺跡,Yokoyamaiseki,本荘市福山字横山,39.3858,140.0489194,Akita,Tohoku,Rekihaku 14C Database,2003,秋田県文化財調査報告書第363集　横山遺跡,,
104,FALSE,TRUE,TRUE,,IAAA-11578,1120,30,AMS,-26.66,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),SI45　覆土,横山遺跡,Yokoyamaiseki,本荘市福山字横山,39.3858,140.0489194,Akita,Tohoku,Rekihaku 14C Database,2003,秋田県文化財調査報告書第363集　横山遺跡,,
105,FALSE,TRUE,TRUE,,IAAA-11821,400,30,AMS,-20.9,NA,Charred Seed,炭化種実(イネ･胚乳･穎),carbonized seed/nuts rice (Oryza sativa),SX-04　番号:1,田中城跡,Tanakajoato,玉名郡和水町大字和仁字古城,33.08056111,130.59445,Kumamoto,Kyushu,Rekihaku 14C Database,2002,三加和町文化財調査報告書　第19集　田中城跡ⅩⅦ,,
106,FALSE,TRUE,TRUE,,IAAA-11822,370,30,AMS,-21.08,NA,Charred Seed,炭化種実(イネ･胚乳･穎),carbonized seed/nuts rice (Oryza sativa),SX-04　番号:2,田中城跡,Tanakajoato,玉名郡和水町大字和仁字古城,33.08056111,130.59445,Kumamoto,Kyushu,Rekihaku 14C Database,2002,三加和町文化財調査報告書　第19集　田中城跡ⅩⅦ,,
107,FALSE,TRUE,TRUE,,IAAA-120273,1238,22,AMS,-23.55,NA,Charred Seed,炭化穀類(イネ),carbonized rice (Oryza sativa),グリッドGⅣ　4号トレンチ　礎石建物跡SB02　堀込地業,長者山遺跡,Chojayamaiseki,日立市十王町伊師,36.67981111,140.7065389,Ibaraki,Kanto,Rekihaku 14C Database,2015,長者山遺跡ー平成20〜24年度発掘調査成果報告書ー,,
108,FALSE,TRUE,TRUE,,IAAA-120274,1240,24,AMS,-22.96,NA,Charred Seed,炭化穀類(イネ),carbonized rice (Oryza sativa),グリッドGⅦ　5号トレンチ　掘立柱建物跡SB06　P1埋土,長者山遺跡,Chojayamaiseki,日立市十王町伊師,36.67981111,140.7065389,Ibaraki,Kanto,Rekihaku 14C Database,2015,長者山遺跡ー平成20〜24年度発掘調査成果報告書ー,,
109,FALSE,TRUE,TRUE,,IAAA-120774,93,24,AMS,-27.02,NA,Charred Seed,炭化種実(イネ科イネ属),carbonized seed/nuts Poaceae rice (Oryza sativa),"試料名:№5
6号住居跡　床面",田原迫ノ上遺跡,Taharasakonoeiseki,鹿屋市串良町細山田,31.45233056,130.9192389,Kagoshima,Kyushu,Rekihaku 14C Database,2016,公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書(5)　東九州自動車道建設(志布志IC〜鹿屋串良JCT間)に伴う埋蔵文化財発掘調査報告書　田原迫ノ上遺跡1(第2分冊),,
110,FALSE,TRUE,TRUE,,IAAA-122028,1265,24,AMS,-23.43,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),24号竪穴建物跡　張出部焼土内,石田Ⅰ･Ⅱ遺跡,Ishida1・2iseki,奥州市胆沢区南都田字石田,39.11506111,141.0663806,Iwate,Tohoku,Rekihaku 14C Database,2015,岩手県文化振興事業団埋蔵文化財調査報告書第632集　石田Ⅰ･Ⅱ遺跡発掘調査報告書　第一分冊(本文･遺構図版･総括),,
111,FALSE,TRUE,TRUE,,IAAA-122029,1293,25,AMS,-25.14,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),24号竪穴建物跡　張出部焼土内,石田Ⅰ･Ⅱ遺跡,Ishida1・2iseki,奥州市胆沢区南都田字石田,39.11506111,141.0663806,Iwate,Tohoku,Rekihaku 14C Database,2015,岩手県文化振興事業団埋蔵文化財調査報告書第632集　石田Ⅰ･Ⅱ遺跡発掘調査報告書　第一分冊(本文･遺構図版･総括),,
112,FALSE,TRUE,TRUE,,IAAA-122482,2029,21,AMS,-23.97,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),試料番号:1   Ⅱ区SK1,バーガ森北斜面遺跡,Ba―Gamorikitashameniseki,吾川郡いの町,33.55756528,133.4283056,Kochi,Shikoku,Rekihaku 14C Database,2015,高知県埋蔵文化財センター発掘調査報告書　第144集　バーガ森北斜面遺跡　高知西バイパス建設工事に伴う発掘調査報告書Ⅲ,,
